TITLE,ALBUM,ARTIST
Tears Don't Fall,The Poison,Bullet For My Valentine
Your Betrayal,Fever,Bullet For My Valentine
Everything Zen,Sixteen Stone,Bush
Machinehead,Sixteen Stone,Bush
The Chemicals Between Us,The Science Of Things,Bush
Ever Fallen in Love (With Someone You Shouldn't've?),Love Bites,Buzzcocks
I Will Survive,Fashion Nugget,CAKE
The Distance,Fashion Nugget,CAKE
Hammer Smashed Face,Tomb Of The Mutilated,Cannibal Corpse
Just Like The Movies,Just Like The Movies,Cars in Drive
I Want You to Want Me,In Color,Cheap Trick
Surrender,Heaven Tonight,Cheap Trick
The Red,Wonder What's Next (Expanded Edition),Chevelle
Are You Dead Yet?,Are You Dead Yet?,Children Of Bodom
You Know My Name,Carry On,Chris Cornell
Wicked Game,Heart Shaped World,Chris Isaak
I Fought the Law,The Cost of Living - EP,The Clash
London Calling,London Calling,The Clash
Rock the Casbah,Combat Rock,The Clash
Should I Stay or Should I Go,Combat Rock,The Clash
Train in Vain (Stand by Me),London Calling,The Clash
Electric Worry,From Beale Street to Oblivion,Clutch
The Mob Goes Wild,Blast Tyrant,Clutch
Loco,Coal Chamber,Coal Chamber
Heaven or Las Vegas,Heaven or Las Vegas,Cocteau Twins
Welcome Home,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,Coheed and Cambria
Clean My Wounds,Deliverance,Corrosion Of Conformity
Nymphetamine Fix,Nymphetamine Special Edition,Cradle Of Filth
Goo Goo Muck,Psychedelic Jungle,The Cramps
Human Fly,Off The Bone,The Cramps
Zombie,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries
Sunshine Of Your Love,Disraeli Gears,Cream
My Sacrifice,Weathered,Creed
With Arms Wide Open,Human Clay,Creed
Fire Woman,Sonic Temple,The Cult
Rain,Love,The Cult
She Sells Sanctuary,Love,The Cult
A Night Like This,The Head On The Door,The Cure
Boys Don't Cry,Three Imaginary Boys,The Cure
Close To Me,The Head On The Door,The Cure
Fascination Street,Disintegration,The Cure
Friday I'm In Love,Wish,The Cure
In Between Days,Show,The Cure
Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me",The Cure
Lovesong,Disintegration,The Cure
Lullaby,Disintegration,The Cure
The Lovecats,Japanese Whispers,The Cure
The Walk,Japanese Whispers,The Cure
(I Just) Died In Your Arms,Broadcast,Cutting Crew
New Rose,Damned Damned Damned (30th Anniversary Expanded Edition),The Damned
Her Black Wings,Danzig II: Lucifuge,Danzig
I'm The One,Danzig II: Lucifuge,Danzig
Long Way Back From Hell,Danzig II: Lucifuge,Danzig
Mother,Danzig,Danzig
Twist Of Cain,Danzig,Danzig
Growing on Me,Permission to Land,The Darkness
I Believe in a Thing Called Love,Permission to Land,The Darkness
Ashes to Ashes,Scary Monsters (And Super Creeps) [2017 Remaster],David Bowie
Heroes,Heroes (2017 Remaster),David Bowie
Let's Dance,Let's Dance (2018 Remaster),David Bowie
Life on Mars?,Hunky Dory,David Bowie
If It Means A Lot To You,Homesick,A Day To Remember
California Uber Alles,Give Me Convenience or Give Me Death,Dead Kennedys
Holiday in Cambodia,Fresh Fruit For Rotting Vegetables (Expanded Edition),Dead Kennedys
Too Drunk To Fuck,Fresh Fruit For Rotting Vegetables (Expanded Edition),Dead Kennedys
Hush,Shades of Deep Purple,Deep Purple
Smoke On The Water,Machine Head,Deep Purple
Animal,Hysteria,Def Leppard
Photograph,Pyromania,Def Leppard
Pour Some Sugar On Me,Hysteria (Super Deluxe),Def Leppard
Be Quiet and Drive (Far Away),Around the Fur,Deftones
Bored,Adrenaline,Deftones
Change (In the House of Flies),White Pony,Deftones
Digital Bath,White Pony,Deftones
Knife Prty,White Pony,Deftones
My Own Summer (Shove It),Around the Fur,Deftones
Passenger,White Pony,Deftones
Sextape,Diamond Eyes,Deftones
Enjoy the Silence,Violator | The 12 Singles,Depeche Mode
Ghosts Again,Memento Mori,Depeche Mode
I Feel You,Songs of Faith and Devotion (Deluxe),Depeche Mode
It's No Good,Ultra (Deluxe),Depeche Mode
Just Can't Get Enough,Speak and Spell (Deluxe),Depeche Mode
Never Let Me Down Again,Music for the Masses (Deluxe),Depeche Mode
Personal Jesus,The Singles 86-98,Depeche Mode
Policy of Truth,Violator (Deluxe),Depeche Mode
Strangelove,The Singles 86-98,Depeche Mode
Stripped,Black Celebration (Deluxe),Depeche Mode
Whip It,Oh No It's Devo / Freedom Of Choice,DEVO
Holy Diver,Holy Diver,Dio
Rainbow In The Dark,Holy Diver,Dio
City Of Angels,Sing Sing Death House,The Distillers
Down with the Sickness,The Sickness,Disturbed
Stricken,Ten Thousand Fists,Disturbed
The Game,The Sickness,Disturbed
Into The Fire,Tooth and Nail,Dokken
Break on Through (To the Other Side),The Doors,The Doors
Light My Fire,The Doors,The Doors
Riders on the Storm,L.A. Woman,The Doors
Roadhouse Blues,Morrison Hotel,The Doors
I'm Shipping Up To Boston,The Warrior's Code,Dropkick Murphys
Bodies,Sinner,Drowning Pool
Tear Away,Sinner,Drowning Pool
A View to a Kill,Decade,Duran Duran
Hungry Like the Wolf,Rio (Collector's Edition),Duran Duran
Is There Something I Should Know?,Greatest,Duran Duran
Ordinary World,Duran Duran,Duran Duran
Planet Earth,Duran Duran,Duran Duran
The Wild Boys,Greatest,Duran Duran
The Killing Moon,Ocean Rain (Expanded; 2007 Remaster),Echo & the Bunnymen
The Last Crusade - A New Age Dawns 1,Consign To Oblivion (Expanded Edition),Epica
Situations,Dying Is Your Latest Fashion,Escape the Fate
The Final Countdown,The Final Countdown (Expanded Edition),Europe
Missionary Man,Revenge,"Eurythmics,Annie Lennox,Dave Stewart"
Sweet Dreams (Are Made of This),Sweet Dreams (Are Made Of This),"Eurythmics,Annie Lennox,Dave Stewart"
Bring Me To Life,Fallen,Evanescence
Call Me When You're Sober,The Open Door,Evanescence
Going Under,Fallen,Evanescence
Lithium,The Open Door,Evanescence
My Immortal,Fallen,Evanescence
More Than Words,Extreme II - Pornograffitti,Extreme
Ashes to Ashes,Album of the Year (2016 Remaster; Deluxe Edition),Faith No More
Easy,Angel Dust,Faith No More
Epic,The Real Thing,Faith No More
Falling to Pieces,The Real Thing,Faith No More
I Started a Joke - Digging the Grave,"King for a Day, Fool for a Lifetime (2016 Remaster; Deluxe Edition)",Faith No More
Last Cup of Sorrow,Album of the Year (2016 Remaster; Deluxe Edition),Faith No More
Midlife Crisis,Angel Dust,Faith No More
Surprise! You're Dead!,The Real Thing,Faith No More
We Care a Lot,Introduce Yourself,Faith No More
"A Little Less Sixteen Candles, A Little More Touch Me",From Under The Cork Tree,Fall Out Boy
"Dance, Dance",From Under The Cork Tree,Fall Out Boy
"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy
"The Take Over, The Breaks Over",Infinity On High,Fall Out Boy
"This Ain't A Scene, It's An Arms Race",Infinity On High,Fall Out Boy
Thnks fr th Mmrs,Infinity On High,Fall Out Boy
Buck Rogers,Echo Park,Feeder
"Hey Man, Nice Shot - Remastered Version",Short Bus,Filter
Bad Company,War is the Answer,Five Finger Death Punch
Far From Home,War is the Answer,Five Finger Death Punch
Under and Over It,American Capitalist (Deluxe),Five Finger Death Punch
Go Your Own Way,Rumours,Fleetwood Mac
The Chain,Rumours (Super Deluxe),Fleetwood Mac
I Ran (So Far Away),A Flock Of Seagulls,A Flock Of Seagulls
All My Life,One By One (Expanded Edition),Foo Fighters
Best of You,In Your Honor,Foo Fighters
Big Me,Foo Fighters,Foo Fighters
Breakout,There Is Nothing Left To Lose,Foo Fighters
Everlong,The Colour And The Shape,Foo Fighters
I'll Stick Around,Foo Fighters,Foo Fighters
Learn to Fly,There Is Nothing Left To Lose,Foo Fighters
Monkey Wrench,The Colour And The Shape,Foo Fighters
My Hero,The Colour And The Shape,Foo Fighters
The Pretender,"Echoes, Silence, Patience & Grace",Foo Fighters
This Is a Call,Foo Fighters,Foo Fighters
Times Like These,One By One (Expanded Edition),Foo Fighters
Cold as Ice,Foreigner (Expanded),Foreigner
I Want to Know What Love Is,Agent Provocateur,Foreigner
Juke Box Hero,4 (Expanded),Foreigner
Urgent,Renegades & Juke Box Heroes (Live),Foreigner
Far From Over,Frank Stallone,Frank Stallone
Hemorrhage (In My Hands),Something Like Human,Fuel
Waiting Room,13 Songs,Fugazi
I Think I'm Paranoid,Version 2.0 (20th Anniversary Deluxe Edition),Garbage
Only Happy When It Rains,Garbage (20th Anniversary Super Deluxe Edition),Garbage
Push It,Version 2.0 (20th Anniversary Deluxe Edition),Garbage
Queer,Garbage (20th Anniversary Super Deluxe Edition),Garbage
Stupid Girl,Garbage (20th Anniversary Super Deluxe Edition),Garbage
Out In The Fields,Run For Cover,"Gary Moore,Phil Lynott"
Cars,The Pleasure Principle,Gary Numan
Are 'Friends' Electric?,Replicas Redux,"Gary Numan,Tubeway Army"
Bad To The Bone,BAD TO THE BONE,George Thorogood & The Destroyers
Call Me Little Sunshine,IMPERA,Ghost
Cirice,Meliora,Ghost
Dance Macabre,Prequelle,Ghost
Faith,Prequelle,Ghost
From The Pinnacle To The Pit,Meliora,Ghost
He Is,Meliora,Ghost
Hunter’s Moon,IMPERA,Ghost
Kiss The Go-Goat,Seven Inches Of Satanic Panic,Ghost
Life Eternal,Prequelle,Ghost
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost
Pro Memoria,Prequelle,Ghost
Rats,Prequelle,Ghost
Square Hammer,Meliora,Ghost
Watcher In The Sky,IMPERA,Ghost
Year Zero,Infestissumam,Ghost
99 Red Balloons,Stomping Ground,Goldfinger
Lifestyles of the Rich & Famous,The Young and The Hopeless,Good Charlotte
21 Guns,21st Century Breakdown,Green Day
American Idiot,American Idiot,Green Day
Basket Case,Dookie,Green Day
Boulevard of Broken Dreams,Boulevard of Broken Dreams,Green Day
Brain Stew,Insomniac,Green Day
Good Riddance (Time of Your Life),Nimrod,Green Day
Hitchin' a Ride,Nimrod,Green Day
Holiday,Holiday,Green Day
Longview,Dookie,Green Day
Welcome to Paradise,Dookie,Green Day
When I Come Around,Dookie,Green Day
Don't Cry,Use Your Illusion I,Guns N' Roses
It's So Easy,Appetite For Destruction,Guns N' Roses
Mr. Brownstone,Appetite For Destruction,Guns N' Roses
Nightrain,Appetite For Destruction,Guns N' Roses
Paradise City,Appetite For Destruction,Guns N' Roses
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses
Welcome To The Jungle,Appetite For Destruction,Guns N' Roses
You Could Be Mine,Use Your Illusion II,Guns N' Roses
Familiar Taste of Poison,Halestorm (Deluxe),Halestorm
Here's to Us,The Strange Case of...,Halestorm
I Get Off,Halestorm (Deluxe),Halestorm
I Miss the Misery,The Strange Case of...,Halestorm
Love Bites (So Do I),The Strange Case of...,Halestorm
Beating Heart Baby,Decadence,Head Automatica
Alone,Bad Animals,Heart
Barracuda,Little Queen,Heart
Unsung,Meantime,Helmet
Join Me In Death,Uneasy Listening Vol.1,HIM
Wings of a Butterfly,Dark Light,HIM
Painted On My Heart,"A Tribute to the Rock 'N' Roll Allstars: Kiss, Guns N' Roses, Deep Purple and More, Vol. 1",The Hit Co.
Main Offender,Veni Vidi Vicious,The Hives
Celebrity Skin,Celebrity Skin,Hole
Doll Parts,Live Through This,Hole
Malibu,Celebrity Skin,Hole
Violet,Live Through This,Hole
Crawling In The Dark,Hoobastank,Hoobastank
The Reason,The Reason (20th Anniversary),Hoobastank
Hit Me With Your Rhythm Stick,Sex & Drugs & Rock & Roll,"Ian Dury,The Blockheads"
Never Fight A Man With A Perm,Joy as an Act of Resistance.,IDLES
The Passenger,Lust For Life,Iggy Pop
Radioactive,Night Visions,Imagine Dragons
Drive,Make Yourself,Incubus
The Warmth,Make Yourself,Incubus
Wish You Were Here,Morning View,Incubus
Devil Inside,Kick (Remastered 2011),INXS
Mystify,Kick (Remastered 2011),INXS
Need You Tonight,Kick (Remastered 2011),INXS
Never Tear Us Apart,Kick (Remastered 2011),INXS
Suicide Blonde,X,INXS
Aces High,Powerslave,Iron Maiden
Bring Your Daughter... to the Slaughter,No Prayer for the Dying,Iron Maiden
Can I Play with Madness,Seventh Son of a Seventh Son,Iron Maiden
Run to the Hills,The Number of the Beast,Iron Maiden
The Evil That Men Do,Seventh Son of a Seventh Son,Iron Maiden
The Trooper,Piece of Mind,Iron Maiden
The Wicker Man,Brave New World,Iron Maiden
Wasted Years,Somewhere in Time,Iron Maiden
Wrathchild,Killers,Iron Maiden
Been Caught Stealing,Ritual De Lo Habitual,Jane's Addiction
Mountain Song,Nothing's Shocking,Jane's Addiction
Stop!,Ritual De Lo Habitual,Jane's Addiction
Piece of My Heart,Flash Back Internacional,Janis Joplin
Forget Her,Grace,Jeff Buckley
"Lover, You Should've Come Over",Grace,Jeff Buckley
Somebody to Love,Surrealistic Pillow,Jefferson Airplane
White Rabbit,Surrealistic Pillow,Jefferson Airplane
Are You Gonna Be My Girl,Get Born,Jet
All Along the Watchtower,Electric Ladyland,Jimi Hendrix
Crosstown Traffic,Electric Ladyland,Jimi Hendrix
Fire,Are You Experienced,Jimi Hendrix
Foxey Lady,Experience Hendrix: The Best Of Jimi Hendrix,Jimi Hendrix
Hey Joe,Are You Experienced,Jimi Hendrix
Purple Haze,Are You Experienced,Jimi Hendrix
Pain,Futures,Jimmy Eat World
Sweetness,Bleed American,Jimmy Eat World
The Middle,Bleed American,Jimmy Eat World
A Praise Chorus,Bleed American,"Jimmy Eat World,Davey Vonbohlen"
Bad Reputation,Bad Reputation (Expanded Edition),Joan Jett & the Blackhearts
I Hate Myself for Loving You,Up Your Alley,Joan Jett & the Blackhearts
I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & the Blackhearts
Crimson and Clover,Live New York '82,"Joan Jett & the Blackhearts,the Blackhearts"
Summer in the City,Have a Little Faith,Joe Cocker
Blaze Of Glory - From Young Guns II Soundtrack,Blaze Of Glory,Jon Bon Jovi
Any Way You Want It,Departure,Journey
Don't Stop Believin',Escape,Journey
Separate Ways (Worlds Apart),Frontiers (2023 Remaster),Journey
Disorder,Unknown Pleasures (Collector's Edition),Joy Division
Love Will Tear Us Apart,Love Will Tear Us Apart,Joy Division
She's Lost Control,Unknown Pleasures (Collector's Edition),Joy Division
Transmission,Transmission,Joy Division
Breaking the Law,British Steel,Judas Priest
Living After Midnight,British Steel,Judas Priest
Turbo Lover,Turbo 30,Judas Priest
You've Got Another Thing Coming,Screaming For Vengeance (Expanded Edition),Judas Priest
Babooshka,Never for Ever (2018 Remaster),Kate Bush
Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush
Nightcall,Nightcall,Kavinsky
My Curse,As Daylight Dies,Killswitch Engage
My Last Serenade,Alive or Just Breathing (Topshelf Edition),Killswitch Engage
The End of Heartache,The End of Heartache,Killswitch Engage
When Darkness Falls,The End of Heartache,Killswitch Engage
Closer,Only By The Night,Kings of Leon
Sex on Fire,Only By The Night,Kings of Leon
All Day and All of the Night,Kinks,The Kinks
Lola,"Lola Versus Powerman and the Moneygoround, Pt. 1",The Kinks
You Really Got Me,Kinks,The Kinks
Crazy Crazy Nights,Crazy Nights,KISS
Detroit Rock City,Double Platinum,KISS
God Gave Rock 'N' Roll To You II,Revenge,KISS
I Was Made For Lovin' You,Dynasty,KISS
Lick It Up,Lick It Up,KISS
Love Gun,Love Gun,KISS
Rock And Roll All Nite,Dressed To Kill,KISS
Strutter,Kiss,KISS
Blind,Korn,Korn
Coming Undone,See You On the Other Side,Korn
Falling Away from Me,Issues,Korn
Freak On a Leash,Follow The Leader,Korn
Got the Life,Follow The Leader,Korn
Here To Stay,Untouchables,Korn
Twisted Transistor,See You On the Other Side,Korn
Word Up!,Word Up! (The Remixes),Korn
Y'all Want a Single,Take A Look In The Mirror,Korn
Pretend We're Dead,Bricks Are Heavy,L7
Shitlist,Bricks Are Heavy,L7
Heaven's a Lie,Comalies,Lacuna Coil
Our Truth,Karmacode,Lacuna Coil
Swamped,Comalies,Lacuna Coil
Laid to Rest,Ashes of the Wake (15th Anniversary),Lamb of God
Now You've Got Something to Die For,Ashes of the Wake (15th Anniversary),Lamb of God
Omerta,Ashes of the Wake (15th Anniversary),Lamb of God
Redneck,Sacrament (15th Anniversary Edition),Lamb of God
Immigrant Song,Led Zeppelin III (Remaster),Led Zeppelin
Rock and Roll,Led Zeppelin IV,Led Zeppelin
Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin
Steal My Sunshine,You Can't Stop The Bum Rush,LEN
Always On The Run,Mama Said,Lenny Kravitz
American Woman,5,Lenny Kravitz
Are You Gonna Go My Way,Are You Gonna Go My Way,Lenny Kravitz
All My Best Friends Are Metalheads,Hello Rockview,Less Than Jake
Break Stuff,Significant Other,Limp Bizkit
Eat You Alive,Results May Vary,Limp Bizkit
Faith,"Three Dollar Bill, Y'all $",Limp Bizkit
My Generation,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit
My Way,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit
Nookie,Significant Other,Limp Bizkit
Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit
Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit
Bleed It Out,Minutes to Midnight,Linkin Park
Breaking the Habit,Meteora (Bonus Edition),Linkin Park
Crawling,Hybrid Theory (Bonus Edition),Linkin Park
Faint,Meteora,Linkin Park
Given Up,Minutes to Midnight,Linkin Park
In the End,Hybrid Theory (Bonus Edition),Linkin Park
Numb,Meteora,Linkin Park
One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park
Papercut,Hybrid Theory (Bonus Edition),Linkin Park
Points of Authority,Hybrid Theory (Bonus Edition),Linkin Park
Somewhere I Belong,Meteora (Bonus Edition),Linkin Park
What I've Done,Minutes to Midnight,Linkin Park
With You,Hybrid Theory (Bonus Edition),Linkin Park
My Own Worst Enemy,A Place In The Sun,Lit
Cult of Personality (2023 Remaster),Vivid (2023 Remaster),Living Colour
Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd
Gimme Three Steps,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd
Sweet Home Alabama,Second Helping (Expanded Edition),Lynyrd Skynyrd
Davidian,Burn My Eyes,Machine Head
Baggy Trousers,Absolutely,Madness
One Step Beyond,One Step Beyond (35th Anniversary),Madness
Warriors of the World United,Warriors of the World,Manowar
Sex & Candy,Marcy Playground,Marcy Playground
I Don't Like The Drugs (But The Drugs Like Me),Mechanical Animals,Marilyn Manson
mOBSCENE,The Golden Age Of Grotesque,Marilyn Manson
Rock Is Dead,Mechanical Animals,Marilyn Manson
The Beautiful People,Antichrist Superstar,Marilyn Manson
The Dope Show,Mechanical Animals,Marilyn Manson
This Is The New Shit,The Golden Age Of Grotesque,Marilyn Manson
Tourniquet,Antichrist Superstar,Marilyn Manson
The Widow,Frances the Mute,The Mars Volta
Blood and Thunder,Leviathan,Mastodon
I'd Do Anything For Love (But I Won't Do That),Bat Out Of Hell II: Back Into Hell (Deluxe),Meat Loaf
Paradise By the Dashboard Light,Bat Out Of Hell,Meat Loaf
Dead Ringer for Love (with Cher),Dead Ringer,"Meat Loaf,Cher"
A Tout Le Monde,Youthanasia (Expanded Edition - Remastered),Megadeth
Angry Again,Hidden Treasures,Megadeth
Hangar 18,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
Holy Wars...The Punishment Due,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
No More Mr. Nice Guy,Hidden Treasures,Megadeth
Peace Sells,Peace Sells...But Who's Buying? (Expanded Edition - Remastered),Megadeth
Reckoning Day,Youthanasia (Expanded Edition - Remastered),Megadeth
Symphony Of Destruction,Countdown To Extinction (Expanded Edition - Remastered),Megadeth
Tornado Of Souls,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
Battery,Master Of Puppets,Metallica
Enter Sandman,Metallica,Metallica
For Whom The Bell Tolls,Ride The Lightning (Deluxe / Remastered),Metallica
Fuel,Reload,Metallica
I Disappear,I Disappear,Metallica
No Leaf Clover,S&M,Metallica
Nothing Else Matters,Metallica,Metallica
Sad But True,Metallica,Metallica
So What,Garage Inc.,Metallica
Until It Sleeps,Load,Metallica
The Memory Remains,Reload,"Metallica,Marianne Faithfull"
Jesus Built My Hotrod,KE*A*H** (Psalm 69),Ministry
N.W.O.,KE*A*H** (Psalm 69),Ministry
What About Us?,Greatest Fits,Ministry
"Die, Die My Darling","Earth A.D. / Die, Die My Darling",Misfits
Dig Up Her Bones,American Psycho,Misfits
Helena,Famous Monsters,Misfits
Hybrid Moments,The Misfits Box Set,Misfits
Last Caress,The Misfits Box Set,Misfits
Saturday Night,Famous Monsters,Misfits
Astro Zombies,Collection,"Misfits,Glenn Danzig"
Skulls,Collection,"Misfits,Glenn Danzig"
Where Eagles Dare,Collection,"Misfits,Glenn Danzig"
Suedehead,Viva Hate,Morrissey
You Have Killed Me,Ringleader of the Tormentors,Morrissey
Another Life,Disguise,Motionless In White
"Girls, Girls, Girls","Girls, Girls, Girls",Mötley Crüe
Home Sweet Home,Theatre of Pain,Mötley Crüe
Kickstart My Heart,Dr. Feelgood,Mötley Crüe
Live Wire,Too Fast For Love,Mötley Crüe
Looks That Kill,Shout At The Devil,Mötley Crüe
Same Ol' Situation (S.O.S.),Dr. Feelgood (40th Anniversary;2021 - Remaster),Mötley Crüe
Shout at the Devil,Shout At The Devil,Mötley Crüe
